ID;PartNumber;Description;Size;Status;Value
1005;0911H;PATRON SILVER TEQUILA;1.75 L;C; 19.58 
1006;0912B;AALBORG AKVAVIT;750 ML;R; 27.17 
1007;0913B;BENEDICTINE D O M;750 ML;R; 98.40 
1008;0914B;DRAMBUIE SCOTCH LIQUEUR;750 ML;R; 42.95 
1009;0914E;DRAMBUIE SCOTCH LIQUEUR;375 ML;R; 40.84 
1010;0914F;DRAMBUIE SCOTCH LIQUEUR;50 ML;R; 16.85 
1011;0914H;DRAMBUIE SCOTCH LIQUEUR;1.75 L;X; 97.37 
1012;0915B;B & B DOM;750 ML;R; 72.85 
1013;0915E;B & B DOM;375 ML;R; 84.54 
1014;0916B;SOUTHERN COMFORT 100;750 ML;R; 58.76 
1015;0916F;SOUTHERN COMFORT 100;50 ML;R; 96.04 
1016;0916H;SOUTHERN COMFORT 100;1.75 L;L; 7.12 
1017;0917B;COINTREAU LIQUEUR;750 ML;R; 39.91 
1018;0917E;COINTREAU LIQUEUR;375 ML;R; 25.76 
1019;0917F;COINTREAU LIQUEUR;50 ML;S; 93.90 
1020;0918B;KAHLUA COFFEE LIQUEUR;750 ML;R; 35.77 
1021;0918D;KAHLUA COFFEE LIQUEUR;200 ML;S; 0.92 
1022;0918E;KAHLUA COFFEE LIQUEUR;375 ML;R; 45.52 
1023;0918F;KAHLUA COFFEE LIQUEUR;50 ML;R; 25.76 
1024;0918H;KAHLUA COFFEE LIQUEUR;1.75 L;R; 31.73 
1025;0919B;GALLIANO L AUTENTICO LIQUE;750 ML;R; 19.41 
1026;0919E;GALLIANO L AUTENTICO LIQUE;375 ML;R; 67.82 
1027;0921B;SAUZA BLANCO (SILVER);750 ML;R; 32.40 
1028;0921H;SAUZA BLANCO (SILVER);1.75 L;R; 36.32 
1029;0922B;CAFFE LOLITA COFFEE LIQ;750 ML;R; 32.82 
1030;0922H;CAFFE LOLITA COFFEE LIQ;1.75 L;R; 10.64 
1031;0923B;CORRALEJO REPOSADO TEQUILA;750 ML;R; 97.13 
1032;0924B;1800 REPOSADO TEQUILA;750 ML;R; 88.19 
1033;0924E;1800 REPOSADO TEQUILA;375 ML;R; 30.59 
1034;0924H;1800 REPOSADO TEQUILA;1.75 L;C; 24.98 
1035;0926B;FLORENTINO LIQUEUR;750 ML;R; 96.10 
1036;0927B;KAMORA COFFEE LIQUEUR;750 ML;R; 61.40 
1037;0927H;KAMORA COFFEE LIQUEUR;1.75 L;R; 4.55 
1038;0929B;SAUZA HORNITOS REPOSADO TE;750 ML;R; 86.94 
1039;0929D;SAUZA HORNITOS REPOSADO TE;200 ML;S; 8.56 
1040;0929F;SAUZA HORNITOS REPOSADO TE;50 ML;R; 51.63 
1041;0929H;SAUZA HORNITOS REPOSADO TE;1.75 L;R; 67.29 
1042;0930B;MONARCH TEQUILA GOLD;750 ML;R; 55.20 
1043;0930E;MONARCH TEQUILA GOLD;375 ML;X; 27.00 
1044;0930H;MONARCH TEQUILA GOLD;1.75 L;R; 82.49 
1045;0931B;SOUTHERN HOST;750 ML;R; 90.20 
1046;0931E;SOUTHERN HOST;375 ML;R; 91.98 
1047;0932B;KAHLUA ESPECIAL;750 ML;R; 11.90 
1048;0933B;MARGARITAVILLE TEQ. BLANCO;750 ML;R; 33.97 
1049;0935B;PIMMS CUP NO 1;750 ML;R; 5.86 
1050;0937B;MONARCH TEQUILA WHITE;750 ML;R; 86.60 
1051;0937H;MONARCH TEQUILA WHITE;1.75 L;R; 12.94 
1052;0941B;YUKON JACK;750 ML;R; 33.12 
1053;0941D;YUKON JACK;200 ML;R; 56.35 
1054;0941E;YUKON JACK;375 ML;R; 74.75 
1055;0941F;YUKON JACK;50 ML;R; 5.96 
1056;0941H;YUKON JACK;1.75 L;R; 91.75 
1057;0943B;BAILEYS IRISH CREAM;750 ML;R; 94.83 
1058;0943E;BAILEYS IRISH CREAM;375 ML;R; 20.75 
1059;0943F;BAILEYS IRISH CREAM;50 ML;R; 47.79 
1060;0943H;BAILEYS IRISH CREAM;1.75 L;R; 36.73 
1061;0944B;DEKUYPER CR DE MENTHE WHIT;750 ML;R; 46.26 
1062;0950B;TARANTULA AZUL;750 ML;R; 41.06 
1063;0950F;TARANTULA AZUL;50 ML;T; 37.60 
1064;0950H;TARANTULA AZUL;1.75 L;L; 69.11 
1065;0952B;FEENEY S IRISH CREAM;750 ML;R; 70.93 
1066;0953B;DEKUYPER CR DE MENTHE GRN;750 ML;R; 5.32 
1067;0959B;DISARONNO AMARETTO;750 ML;R; 84.15 
1068;0959E;DISARONNO AMARETTO;375 ML;R; 80.60 
1069;0959F;DISARONNO AMARETTO;50 ML;R; 33.96 
1070;0960B;AMARETTO DI AMORE;750 ML;R; 54.27 
1071;0962B;POTTERS AMARETTO;750 ML;R; 91.22 
1072;0966B;CHATEAU MONET FRAMBOISE;750 ML;R; 59.67 
1073;0967B;BOLS BOHEMIAN RASPBERRY;750 ML;R; 36.74 
1074;0968B;DEKUYPER RAZZMATAZZ;750 ML;R; 61.25 
1075;0969B;FRANGELICO;750 ML;R; 38.44 
1076;0969E;FRANGELICO;375 ML;R; 39.47 
1077;0969F;FRANGELICO;50 ML;S; 43.75 
1078;0969H;FRANGELICO;1.75 L;S; 80.62 
1079;0970B;DEKUYPER CR DE CACAO WHITE;750 ML;R; 62.42 
1080;0974B;NOCELLO WALNUT LIQUEUR;750 ML;L; 55.44 
1081;0975B;POTTERS DK CREME DE CACAO;750 ML;R; 69.20 
1082;0976B;BOLS DK CREME DE CACAO;750 ML;R; 91.49 
1083;0977B;OUZO #12;750 ML;R; 72.28 
1084;0979B;DEKUYPER CR DE CACAO DARK;750 ML;R; 72.93 
1085;0985B;JACQUINS CREME DE CASSIS;750 ML;R; 67.79 
1086;0987B;COPA DE ORO;750 ML;R; 50.59 
1087;0988B;DUBOUCHETT CR DE CASSIS;750 ML;R; 56.12 
1088;0989B;CLEAR CREEK KIRSCHWASSER;750 ML;R; 20.54 
1089;0989E;CLEAR CREEK KIRSCHWASSER;375 ML;R; 31.42 
1090;0989F;CLEAR CREEK KIRSCHWASSER;50 ML;L; 39.74 
1091;0989H;CLEAR CREEK KIRSCHWASSER;1.75 L;L; 12.60 
1092;0993B;MONARCH DK CR DE CACAO;750 ML;R; 87.86 
1093;0994B;MONARCH AMARETTO;750 ML;R; 47.52 
1094;0994H;MONARCH AMARETTO;1.75 L;R; 38.20 
1095;0995B;MONARCH COFFEE;750 ML;R; 94.77 
1096;0995H;MONARCH COFFEE;1.75 L;R; 7.54 
1097;0996B;KAPALI COFFEE LIQUEUR;750 ML;R; 65.24 
1098;0999B;POTTERS COFFEE LIQUEUR;750 ML;R; 84.10 
1099;1001B;TEQUILA ROSE COCOA N/A;750 ML;X; 86.79 
1100;1001F;TEQUILA ROSE COCOA N/A;50 ML;D; 58.77 
1101;1002B;TEQUILA ROSE JAVA N/A;750 ML;X; 68.31 
1102;1002F;TEQUILA ROSE JAVA N/A;50 ML;D; 97.67 
1103;1010B;BRANDY PEAK BLACKBERRY LIQ;750 ML;R; 85.60 
1104;1010E;BRANDY PEAK BLACKBERRY LIQ;375 ML;R; 91.53 
1105;1018B;DEKUYPER CREME DE BANANA;750 ML;R; 64.42 
1106;1019B;DEKUYPER BLUE CURACAO;750 ML;R; 39.29 
1107;1021B;TEQUILA ROSE;750 ML;R; 30.47 
1108;1021F;TEQUILA ROSE;50 ML;T; 51.35 
1109;1022B;RYAN S CREAM;750 ML;R; 75.52 
1110;1022H;RYAN S CREAM;1.75 L;S; 23.60 
1111;1025B;EMMETS IRISH CREAM;750 ML;R; 39.54 
1112;1026B;KNICKERS IRISH CREAM;750 ML;R; 17.04 
1113;1028B;DUGGAN S CREAM LIQUEUR;750 ML;R; 55.96 
1114;1029B;BUSHMILLS IRISH CREAM N/A;750 ML;D; 34.81 
1115;1032B;QUINCY MARKET ALMOND CREME;750 ML;S; 45.68 
1116;1035B;HARLEQUIN ORANGE LIQUEUR;750 ML;R; 47.26 
1117;1036B;MR. BOSTON ROCK & RYE;750 ML;R; 7.22 
1118;1037B;DEKUYPER ORANGE CURACAO;750 ML;C; 8.37 
1119;1038B;ST. BRENDAN S IR. CREAM;750 ML;R; 52.05 
1120;1038D;ST. BRENDAN S IR. CREAM;200 ML;T; 67.64 
1121;1038H;ST. BRENDAN S IR. CREAM;1.75 L;R; 41.93 
1122;1039B;CAROLANS IRISH CREAM;750 ML;R; 92.40 
1123;1039H;CAROLANS IRISH CREAM;1.75 L;R; 2.92 
1124;1040B;MCGUIRES CREAM LIQUEUR;750 ML;R; 4.93 
1125;1041B;E & J CASK & CREAM;750 ML;R; 14.58 
1126;1043B;DEKUYPER HAZELNUT;750 ML;R; 19.16 
1127;1045B;BOLS TRIPLE SEC;750 ML;R; 71.64 
1128;1049B;POTTERS TRIPLE SEC;750 ML;R; 25.53 
1129;1054B;DEKUYPER TRIPLE SEC 30PRF;750 ML;R; 97.18 
1130;1056B;MONARCH TRIPLE SEC;750 ML;R; 53.58 
1131;1056H;MONARCH TRIPLE SEC;1.75 L;R; 25.77 
1132;1061B;GRAND MONARCH;750 ML;R; 54.53 
1133;1063B;CAPT. MORGAN PARROT BAY;750 ML;R; 20.71 
1134;1063H;CAPT. MORGAN PARROT BAY;1.75 L;R; 45.13 
1135;1064B;MALIBU RUM;750 ML;R; 23.48 
1136;1064E;MALIBU RUM;375 ML;C; 50.29 
1137;1064F;MALIBU RUM;50 ML;T; 20.12 
1138;1064H;MALIBU RUM;1.75 L;R; 9.97 
1139;1072B;ARROW ANISETTE;750 ML;R; 29.28 
1140;1075B;MCGILLICUDDYS FR VANILLA;750 ML;R; 66.58 
1141;1075F;MCGILLICUDDYS FR VANILLA;50 ML;D; 93.37 
1142;1076B;DEKUYPER OLD TAVERN ROOTBE;750 ML;S; 43.61 
1143;1077B;DEKUYPER RASPBERRY PUCKER;750 ML;S; 92.89 
1144;1080B;DEKUYPER ISLAND PUNCH PUCK;750 ML;R; 8.19 
1145;1086B;DEKUYPER PEACHTREE SCHNAPP;750 ML;R; 7.06 
1146;1086H;DEKUYPER PEACHTREE SCHNAPP;1.75 L;S; 24.14 
1147;1092B;DEKUYPER PEPPERMINT 60 PRF;750 ML;R; 11.62 
1148;1093B;SCHRANCKS PEPP SCHNAPPS;750 ML;R; 48.53 
1149;1093E;SCHRANCKS PEPP SCHNAPPS;375 ML;R; 34.61 
1150;1093H;SCHRANCKS PEPP SCHNAPPS;1.75 L;R; 83.75 
1151;1094B;ARROW PEPPERMINT SCHNAPPS;750 ML;R; 57.88 
1152;1095B;DEKUYPER PEPPERMINT 100 PF;750 ML;R; 96.55 
1153;1095E;DEKUYPER PEPPERMINT 100 PF;375 ML;S; 49.08 
1154;1096B;MONARCH PEPP SCHNAPPS;750 ML;R; 47.41 
1155;1096H;MONARCH PEPP SCHNAPPS;1.75 L;R; 79.03 
1156;1098B;H R D PEACH SCHNAPPS;750 ML;R; 12.81 
1157;1098H;H R D PEACH SCHNAPPS;1.75 L;R; 62.41 
1158;1100B;POTTERS PEACH SCHNAPPS;750 ML;R; 20.01 
1159;1105B;H R D ROOT BEER SCHNAPPS;750 ML;R; 99.30 
1160;1111B;DEKUYPER BUTTERSHOTS;750 ML;R; 55.99 
1161;1111E;DEKUYPER BUTTERSHOTS;375 ML;S; 55.09 
1162;1112B;MONARCH HAZELNUT LIQUEUR;750 ML;R; 53.14 
1163;1113B;DEKUYPER CACTUS JUICE;750 ML;S; 25.97 
1164;1114B;FIREWATER CINNAMON SCHNAPP;750 ML;R; 16.64 
1165;1115B;H W BUTTERNIPS SCHNAPPS;750 ML;R; 50.36 
1166;1120B;ICE 101 PEPPERMINT SCHNAPP;750 ML;R; 30.64 
1167;1125B;BLACK HAUS BLKBRY SCHNPS;750 ML;L; 25.59 
1168;1129B;PERMA FROST SCHNAPPS;750 ML;R; 20.14 
1169;1200B;DEKUYPER MELON;750 ML;R; 45.66 
1170;1204B;DEKUYPER HOT DAMN!;750 ML;R; 48.67 
1171;1207B;GAETANO MELON LIQUEUR;750 ML;R; 33.74 
1172;1211B;GOLD RUSH CINNAMON SCHNAPP;750 ML;R; 21.95 
1173;1213B;GOLDSCHLAGER CINNAMON SCHP;750 ML;R; 48.47 
1174;1213E;GOLDSCHLAGER CINNAMON SCHP;375 ML;R; 98.55 
1175;1213F;GOLDSCHLAGER CINNAMON SCHP;50 ML;R; 69.22 
1176;1219B;DEKUYPER WATERMELON PUCKER;750 ML;R; 72.68 
1177;1227B;JINRO SOJU;750 ML;C; 66.43 
1178;1227E;JINRO SOJU;375 ML;R; 13.51 
1179;1227H;JINRO SOJU;1.75 L;C; 48.07 
1180;1230B;BAJA ROSA  N/A;750 ML;X; 19.82 
1181;1400B;MONTEZUMA BLUE;750 ML;R; 37.58 
1182;1400H;MONTEZUMA BLUE;1.75 L;L; 47.36 
1183;1401B;BAJA TEQUILA LIQUEUR;750 ML;R; 75.61 
1184;1401H;BAJA TEQUILA LIQUEUR;1.75 L;R; 38.58 
1185;1402B;TORTILLA GOLD LIQUEUR;750 ML;R; 41.70 
1186;1402H;TORTILLA GOLD LIQUEUR;1.75 L;R; 28.69 
1187;2001B;HENNESSY VSOP COGNAC;750 ML;R; 27.17 
1188;2001E;HENNESSY VSOP COGNAC;375 ML;L; 79.81 
1189;2003B;MT. GAY DARK ECLIPSE RUM;750 ML;R; 89.85 
1190;2003H;MT. GAY DARK ECLIPSE RUM;1.75 L;S; 65.93 
1191;2004B;METAXA 7 STAR AMPHORA BRAN;750 ML;L; 43.72 
1192;2005B;WILD TURKEY AMERICAN HONEY;750 ML;R; 22.73 
1193;2005F;WILD TURKEY AMERICAN HONEY;50 ML;T; 24.33 
1194;2008B;RUMPLE MINZE;750 ML;R; 31.33 
1195;2008E;RUMPLE MINZE;375 ML;R; 90.82 
1196;2008F;RUMPLE MINZE;50 ML;R; 57.30 
1197;2009B;JEREMIAH WEED;750 ML;R; 96.28 
1198;2012B;CHIVAS ROYAL SALUTE;750 ML;L; 80.96 
1199;2014B;SOUTHERN COMFORT  LT. WGT.;750 ML;R; 18.70 
1200;2017B;BOLS ORANGE CURACAO;750 ML;R; 95.05 
1201;2018B;COURVOISIER VSOP;750 ML;R; 27.89 
1202;2019B;CHAMBORD LIQUEUR;750 ML;R; 59.18 
1203;2019E;CHAMBORD LIQUEUR;375 ML;S; 17.17 
1204;2019F;CHAMBORD LIQUEUR;50 ML;R; 90.42 
1205;2021B;JAGERMEISTER LIQUEUR;750 ML;R; 77.10 
1206;2021D;JAGERMEISTER LIQUEUR;200 ML;R; 49.39 
1207;2021E;JAGERMEISTER LIQUEUR;375 ML;R; 67.64 
1208;2021F;JAGERMEISTER LIQUEUR;50 ML;R; 2.02 
1209;2021H;JAGERMEISTER LIQUEUR;1.75 L;R; 44.70 
1210;2025B;PRESIDENTE BRANDY;750 ML;R; 17.43 
1211;2025H;PRESIDENTE BRANDY;1.75 L;S; 11.67 
1212;2026B;ROMANA SAMBUCA;750 ML;R; 74.75 
1213;2027B;BRITISH NAVY PUSSERS RUM;750 ML;L; 47.42 
1214;2028B;BOULARD CALVADOS VSOP;750 ML;L; 91.66 
1215;2029B;CHERRY HEERING;750 ML;L; 4.52 
1216;2031B;MIDORI MELON LIQUEUR;750 ML;R; 54.01 
1217;2031E;MIDORI MELON LIQUEUR;375 ML;R; 24.67 
1218;2032B;FUNDADOR BRANDY;750 ML;R; 80.25 
1219;2034B;MT. GAY LT. SPEC RESER N/A;750 ML;D; 13.35 
1220;2036B;DON PEDRO RESERVA ESPECIAL;750 ML;R; 91.27 
1221;2037B;BOLS PEACH BRANDY  N/A;750 ML;X; 30.31 
1222;2039B;LAIRDS APPLEJACK;750 ML;R; 52.88 
1223;2040B;SABRA LIQUEUR;750 ML;L; 12.24 
1224;2041B;CLEAR CREEK GRAPPA MUSCAT;750 ML;R; 65.51 
1225;2041E;CLEAR CREEK GRAPPA MUSCAT;375 ML;R; 25.34 
1226;2041H;CLEAR CREEK GRAPPA MUSCAT;1.75 L;L; 90.89 
1227;2042E;HOWLY GRAPPA  N/A;375 ML;D; 97.92 
1228;2044B;KETEL ONE VODKA;750 ML;R; 43.52 
1229;2044E;KETEL ONE VODKA;375 ML;L; 2.42 
1230;2044F;KETEL ONE VODKA;50 ML;T; 22.14 
1231;2044H;KETEL ONE VODKA;1.75 L;R; 79.18 
1232;2046B;GLENLIVET FRENCH OAK;750 ML;R; 24.71 
1233;2047B;JAMESON IRISH WHISKEY 12Y;750 ML;R; 85.53 
1234;2048B;MACALLAN SCOTCH 12 YR;750 ML;R; 33.42 
1235;2048H;MACALLAN SCOTCH 12 YR;1.75 L;L; 62.62 
1236;2049B;GLENMORANGIE 10 YR SCOTCH;750 ML;R; 71.09 
1237;2050B;HENNESSY XO COGNAC;750 ML;R; 85.71 
1238;2051B;REMY MARTIN XO EXCELLENCE;750 ML;R; 15.80 
1239;2051E;REMY MARTIN XO EXCELLENCE;375 ML;S; 57.28 
1240;2054B;BARBANCOURT 3 STAR RUM;750 ML;R; 18.35 
1241;2059B;DEKUYPER COCONUT AMAR N/A;750 ML;X; 12.75 
1242;2064B;LEMON HART DEMERARA RUM;750 ML;C; 46.35 
1243;2066B;BLACK BUSH IRISH;750 ML;R; 38.41 
1244;2067B;TULLAMORE DEW - 12 YR.;750 ML;S; 65.21 
1245;2069B;HUSSONGS TEQUILA REPOSADO;750 ML;R; 88.16 
1246;2070B;KAHANA ROYALE MACADAMIA;750 ML;S; 14.81 
1247;2071B;WHALER S RARE RESERVE;750 ML;R; 45.84 
1248;2072B;GERMAIN-ROBIN BR N/A;750 ML;D; 28.17 
1249;2074B;BUNNAHAHBAIN SCOTCH;750 ML;S; 42.63 
1250;2076B;ABSOLUT CITRON VODKA;750 ML;R; 31.45 
1251;2076E;ABSOLUT CITRON VODKA;375 ML;R; 39.49 
1252;2076F;ABSOLUT CITRON VODKA;50 ML;T; 30.77 
1253;2076H;ABSOLUT CITRON VODKA;1.75 L;R; 58.46 
1254;2078B;ABSOLUT PEPPAR VODKA;750 ML;R; 59.43 
1255;2079B;STOLICHNAYA CITROS;750 ML;R; 88.68 
1256;2081B;MARTELL VSOP COGNAC;750 ML;R; 34.70 
1257;2096B;WHITE CHRISTMAS RUM & BRDY;750 ML;R; 34.19 
1258;2097B;REMY MARTIN LOUIS XIII;750 ML;S; 34.58 
1259;2098B;TRES GENERACIONES ANEJO;750 ML;R; 99.39 
1260;2099B;SAUZA CONMEMORATIVO TEQ.;750 ML;R; 19.24 
1261;2100B;TRES GENERACIONES PLATA;750 ML;R; 2.45 
1262;2101B;TRES GENERACIONES REPOSADO;750 ML;C; 61.63 
1263;2101F;TRES GENERACIONES REPOSADO;50 ML;X; 71.19 
1264;2102B;ARAK RAZZOUK;750 ML;S; 18.78 
1265;2103B;STOLICHNAYA GOLD;750 ML;R; 72.53 
1266;2108B;MARASKA KOSHER SLIVOVITZ;750 ML;S; 67.77 
1267;2114B;MAKERS MARK;750 ML;R; 5.42 
1268;2114D;MAKERS MARK;200 ML;S; 32.00 
1269;2114E;MAKERS MARK;375 ML;R; 66.35 
1270;2114H;MAKERS MARK;1.75 L;R; 66.28 
1271;2115B;BOOKERS;750 ML;R; 55.22 
1272;2121B;BOLS BLACKBERRY BRANDY;750 ML;R; 18.71 
1273;2122B;BOLS SLOE GIN;750 ML;S; 84.29 
1274;2125B;HERRADURA REPOSADO;750 ML;R; 37.37 
1275;2125F;HERRADURA REPOSADO;50 ML;T; 62.34 
1276;2126B;HERRADURA SILVER TEQUILA;750 ML;R; 38.29 
1277;2126F;HERRADURA SILVER TEQUILA;50 ML;T; 91.35 
1278;2130B;BOLS APRICOT BRANDY;750 ML;R; 44.94 
1279;2132B;LAPHROAIG SCOTCH;750 ML;R; 62.23 
1280;2133B;BACARDI SOLERA;750 ML;R; 45.37 
1281;2134B;BOLS BLUE CURACAO;750 ML;R; 33.79 
1282;2135B;BOLS WH CR DE MENTHE;750 ML;R; 59.82 
1283;2136B;ARROW CREME DE STRAWBERRY;750 ML;R; 98.74 
1284;2137B;BOLS GR CR DE MENTHE;750 ML;R; 83.43 
1285;2138B;BOLS WH CR DE CACAO;750 ML;R; 27.21 
1286;2144B;METAXA 5 STAR BRANDY;750 ML;R; 14.34 
1287;2147B;DALMORE;750 ML;L; 2.49 
1288;2149B;SHEEP DIP SCOTCH;750 ML;L; 25.29 
1289;2156B;BARENJAGER LIQUEUR;750 ML;R; 90.22 
1290;2157B;WILD TURKEY RARE BREED;750 ML;R; 85.86 
1291;2160B;EAGLE RARE S/B BOURBON;750 ML;C; 75.21 
1292;2160E;EAGLE RARE S/B BOURBON;375 ML;X; 55.95 
1293;2160H;EAGLE RARE S/B BOURBON;1.75 L;S; 38.48 
1294;2162B;BAKER S BOURBON;750 ML;L; 76.03 
1295;2163B;KNOB CREEK BOURBON;750 ML;R; 24.11 
1296;2163E;KNOB CREEK BOURBON;375 ML;R; 28.46 
1297;2163F;KNOB CREEK BOURBON;50 ML;S; 45.34 
1298;2163H;KNOB CREEK BOURBON;1.75 L;R; 47.01 
1299;2164B;BASIL HAYDEN S BOURBON;750 ML;R; 51.98 
1300;2165B;WILD TURKEY KENTUCKY SPRT;750 ML;L; 68.29 
1301;2169B;JACK DANIELS SINGLE BARREL;750 ML;R; 88.68 
1302;2170B;BLANTON SINGLE BARREL BB;750 ML;R; 86.68 
1303;2170E;BLANTON SINGLE BARREL BB;375 ML;S; 81.76 
1304;2170F;BLANTON SINGLE BARREL BB;50 ML;S; 81.95 
1305;2176B;CROWN ROYAL RESERVE;750 ML;R; 70.57 
1306;2176E;CROWN ROYAL RESERVE;375 ML;S; 67.08 
1307;2176H;CROWN ROYAL RESERVE;1.75 L;L; 14.76 
1308;2177B;GODIVA LIQUEUR;750 ML;R; 69.11 
1309;2177F;GODIVA LIQUEUR;50 ML;D; 54.51 
1310;2178B;CENTINELA ANEJO - 1 YR.;750 ML;S; 35.22 
1311;2179B;CENTINELA ANEJO - 3 YR.;750 ML;S; 45.84 
1312;2201B;AUCHENTOSHAN 10 YR. N/A;750 ML;X; 80.24 
1313;2204B;BUCHANAN S DELUXE SCOTCH;750 ML;R; 91.15 
1314;2206B;WILD TURKEY RYE;750 ML;A; 65.19 
1315;2207B;OPAL NERA SAMBUCA N/A;750 ML;X; 20.14 
1316;2208B;GLENDRONACH;750 ML;L; 65.96 
1317;2209B;JOHNNIE WALKER BLUE;750 ML;R; 85.12 
1318;2209D;JOHNNIE WALKER BLUE;200 ML;S; 13.56 
1319;2209H;JOHNNIE WALKER BLUE;1.75 L;S; 61.40 
1320;2210B;GLENKINCHIE MALT SCOTCH;750 ML;L; 78.49 
1321;2211B;HIGHLAND PARK SINGLE MALT;750 ML;C; 49.93 
1322;2212B;LAPHROAIG SCOTCH 15 N/A;750 ML;D; 62.61 
1323;2213B;APPLETON ESTATE EXTRA;750 ML;L; 44.18 
1324;2214B;USQUAEBACH ORIG. FLAGON NA;750 ML;X; 99.61 
1325;2215B;ASBACH URALT BRANDY;750 ML;L; 6.21 
1326;2216B;AALBORG JUBILAEUMS AKV N/A;750 ML;D; 33.93 
1327;2217B;GOSLINGS BLACK SEAL RUM;750 ML;R; 60.38 
1328;2217H;GOSLINGS BLACK SEAL RUM;1.75 L;S; 49.92 
1329;2218B;STOCK GRAN GALA LIQUEUR;750 ML;R; 27.84 
1330;2219B;CORRALEJO ANEJO;750 ML;L; 84.01 
1331;3000B;CROWN ROYAL BLACK W GLASS;750 ML;H; 32.88 
1332;3002B;CAROLANS IRISH CREAM W GLS;750 ML;H; 42.23 
1333;3003B;WISER S DELUXE W GLASSES;750 ML;H; 31.98 
1334;3004B;THREE OLIVES VODKA W/MINIS;750 ML;D; 91.86 
1335;3005B;REMY VSOP W/SHOT GLS;750 ML;H; 32.86 
1336;3006B;STOLICHNAYA W2 MART GLS NA;750 ML;D; 53.52 
1337;3007B;COINTREAU W/2 GLASSES;750 ML;H; 83.66 
1338;3008B;MACALLAN SCOTCH W 18YO MIN;750 ML;H; 9.72 
1339;3009B;HENNESSY VSOP W/2 SNIFTERS;750 ML;D; 68.80 
1340;3010B;NAVAN W/SNIFTERS;750 ML;D; 14.79 
1341;3011B;HENNESSY XO W/2 SNIFTERS;750 ML;D; 73.28 
1342;3012B;GRAND MARNIER W GLASSES;750 ML;H; 86.46 
1343;3013B;GLENMORANGIE 10Y W/GLASSES;750 ML;D; 52.65 
1344;3017B;DON JULIO BLANCO W/LIME PR;750 ML;D; 65.81 
1345;3018B;EL JIMADOR REPOSADO W/GLS;750 ML;D; 47.61 
1346;3020B;KAHLUA COFFEE CREAM  N/A;750 ML;X; 52.91 
1347;3021B;ISLE OF JURA W/GLASSES;750 ML;D; 65.63 
1348;3022B;BOTTICELLI CAPPUCCINO GIFT;750 ML;H; 0.80 
1349;3023B;KETEL ONE VODKA W GLASS;750 ML;H; 36.84 
1350;3024B;WILD TURKEY 101 W/FLASK;750 ML;H; 9.91 
1351;3025B;CHIVAS REGAL W GLS;750 ML;H; 30.47 
1352;3025H;CHIVAS REGAL W GLS;1.75 L;D; 21.14 
1353;3026B;GLENLIVET W/2 GLASSES;750 ML;H; 87.10 
1354;3027B;DISARONNO AMARETTO W GLASS;750 ML;H; 16.63 
1355;3028B;BOMBAY SAPPHIRE W MARTINI;750 ML;D; 87.64 
1356;3029B;BACARDI LIMON GLASS COPK;750 ML;D; 93.38 
1357;3030B;BUSHMILLS W/2 GLASSES;750 ML;D; 48.67 
1358;3031B;JOHNNIE WALKER GREEN IN BX;750 ML;D; 4.86 
1359;3032B;BEEFEATER W/SHAKER;750 ML;X; 16.78 
1360;3032H;BEEFEATER W/SHAKER;1.75 L;D; 54.96 
1361;3033B;REMY XO W/2 SNIFTERS;750 ML;X; 15.13 
1362;3034B;CUTTY SARK W/POKER SET;750 ML;D; 8.34 
1363;3035B;MAKERS MARK W GLASSES;750 ML;H; 70.80 
1364;3036B;STARBUCKS CREAM W/ABBEY MG;750 ML;X; 90.07 
1365;3037B;STARBUCKS COFFEE W/ABBEY M;750 ML;X; 39.72 
1366;3038B;SAUZA HORNITOS W/FLASK;750 ML;D; 71.81 
1367;3039B;COURVOISIER VS W/FLASK;750 ML;D; 10.36 
1368;3040B;CIROC LUXURY VODKA W/2 GLS;750 ML;D; 92.76 
1369;3041H;JOHNNIE WALKER BLK W/CRADL;1.75 L;D; 61.43 
1370;3042B;BAILEY S W/2 GLASSES;750 ML;H; 79.90 
1371;3043B;TALISKER MALT W/2 GLASSES;750 ML;D; 85.85 
1372;3044B;TANQUERAY NO. TEN W/SHAKER;750 ML;D; 83.01 
1373;3045B;JOHNNIE WALKER BLK W/2 GLS;750 ML;H; 8.89 
1374;3046B;PALLINI 2 GLASS GIFT;750 ML;D; 95.29 
1375;3047H;CHIVAS REGAL W/COASTERS;1.75 L;D; 65.82 
1376;3048B;KAHLUA W MUG 3 MINIS;750 ML;H; 11.08 
1377;3049B;JAMESON IRISH W/GLASSES;750 ML;H; 89.80 
1378;3050B;JIM BEAM BLACK W GLASSES;750 ML;H; 9.42 
1379;3051B;COURVOISIER VSOP W FLASK;750 ML;D; 58.66 
1380;3052B;CUERVO TRADICIONAL W GLS;750 ML;D; 81.72 
1381;3053B;PATRON REPO W 375 CITRONGE;750 ML;T; 82.72 
1382;3054B;E&J VSOP BRANDY W FLASK;750 ML;D; 83.35 
1383;3055B;E & J XO W GLASSES;750 ML;H; 35.59 
1384;3056B;TEQUILA ROSE W GLASSES;750 ML;H; 97.65 
1385;3057F;VAN GOGH GIFT 5 - 50ML;50 ML;D; 51.81 
1386;3059B;TULLAMORE DEW W CORDIAL GL;750 ML;D; 45.25 
